,playerID,player_name,predicted WAR_1,actual WAR_1,predicted WAR_2,actual WAR_2,predicted WAR_3,actual WAR_3,start_year,trade_year,from_team,to_team,transaction-ID,rmse_scores_1,rmse_scores_2,rmse_scores_3
0,branyru01 ,"1779    Russell Oles
Name: nameGiven, dtype: object",1.225,-0.08,0.74,0.0,-0.14,0.0,2011 ,2010.0,CLE,SEA,66832.0,1.662979203702202,1.6632081851770844,1.4798617605370876
1,gonzaal02 ,"6302    Alexander
Name: nameGiven, dtype: object",0.0,1.53,3.73,0.17,0.0,-0.98,2011 ,2010.0,TOR,ATL,66833.0,1.662979203702202,1.6632081851770844,1.4798617605370876
2,escobyu01 ,"4997    Yunel
Name: nameGiven, dtype: object",1.045,4.68,2.31142857143,2.89,1.51428571429,3.22,2011 ,2010.0,ATL,TOR,66833.0,1.662979203702202,1.6632081851770844,1.4798617605370876
3,reyesjo03 ,"14148    Joseph Albert
Name: nameGiven, dtype: object",-0.04,0.0,2.52,0.0,-1.31,0.0,2011 ,2010.0,ATL,TOR,66833.0,1.662979203702202,1.6632081851770844,1.4798617605370876
4,callaal01 ,"2408    Alberto Jose
Name: nameGiven, dtype: object",0.93,3.38,1.765,3.37,2.77,0.23,2011 ,2010.0,KCA,ANA,66834.0,1.662979203702202,1.6632081851770844,1.4798617605370876
5,osullse01 ,"12803    Sean Daniel
Name: nameGiven, dtype: object",0.61,0.01,0.17,0.0,0.0375,0.05,2011 ,2010.0,ANA,KCA,66834.0,1.662979203702202,1.6632081851770844,1.4798617605370876
6,harenda01 ,"7007    Daniel John
Name: nameGiven, dtype: object",-0.75,0.07,0.8,-0.07,-0.085,0.18,2011 ,2010.0,ARI,ANA,66835.0,1.662979203702202,1.6632081851770844,1.4798617605370876
7,saundjo01 ,"15034    Joseph Francis
Name: nameGiven, dtype: object",2.47,0.26,0.275,-0.1,0.02,-0.06,2011 ,2010.0,ANA,ARI,66835.0,1.662979203702202,1.6632081851770844,1.4798617605370876
8,rodrira01 ,"14501    Rafael
Name: nameGiven, dtype: object",0.49,0.0,-0.07,0.0,-0.59,0.0,2011 ,2010.0,ANA,ARI,66835.0,1.662979203702202,1.6632081851770844,1.4798617605370876
9,wallabr01 ,"17701    Brett Alexander
Name: nameGiven, dtype: object",1.24142857143,0.23,1.19428571429,-0.36,0.301666666667,-0.25,2011 ,2010.0,TOR,HOU,66837.0,1.662979203702202,1.6632081851770844,1.4798617605370876
10,reynoma01 ,"14165    Mark Andrew
Name: nameGiven, dtype: object",0.372857142857,0.62,1.952,0.21,1.6275,-1.17,2011 ,2010.0,ARI,BAL,66839.0,1.662979203702202,1.6632081851770844,1.4798617605370876
11,hernada01 ,"7436    David Jose
Name: nameGiven, dtype: object",1.09857142857,0.04,0.99,0.09,1.618,0.04,2011 ,2010.0,BAL,ARI,66839.0,1.662979203702202,1.6632081851770844,1.4798617605370876
12,mickoka01 ,"11456    Kameron Kraig
Name: nameGiven, dtype: object",-0.565,-0.01,-0.14,0.0,-0.59,0.0,2011 ,2010.0,BAL,ARI,66839.0,1.662979203702202,1.6632081851770844,1.4798617605370876
13,hestejo01 ,"7517    John Graves
Name: nameGiven, dtype: object",1.32333333333,-0.15,0.35,0.03,1.02,0.0,2012 ,2011.0,ARI,BAL,66839.0,1.662979203702202,1.6632081851770844,1.4798617605370876
14,greinza01 ,"6578    Donald Zachary
Name: nameGiven, dtype: object",0.943333333333,0.09,0.806666666667,0.01,3.57333333333,1.28,2011 ,2010.0,KCA,MIL,66840.0,1.662979203702202,1.6632081851770844,1.4798617605370876
15,betanyu01 ,"1244    Yuniesky
Name: nameGiven, dtype: object",-0.1,-0.52,0.435,-1.14,-0.04,-1.94,2011 ,2010.0,KCA,MIL,66840.0,1.662979203702202,1.6632081851770844,1.4798617605370876
16,jeffrje01 ,"8317    Jeremy Ross
Name: nameGiven, dtype: object",2.80857142857,0.01,3.51,0.01,-1.22,0.01,2011 ,2010.0,MIL,KCA,66840.0,1.662979203702202,1.6632081851770844,1.4798617605370876
17,escobal02 ,"4991    Alcides
Name: nameGiven, dtype: object",-0.38,2.66,0.782857142857,3.4,0.851666666667,0.28,2011 ,2010.0,MIL,KCA,66840.0,1.662979203702202,1.6632081851770844,1.4798617605370876
18,cainlo01 ,"2385    Lorenzo Lamar
Name: nameGiven, dtype: object",1.96333333333,0.1,1.49,1.98,2.19666666667,3.2,2011 ,2010.0,MIL,KCA,66840.0,1.662979203702202,1.6632081851770844,1.4798617605370876
19,cabreor01 ,"2368    Orlando Luis
Name: nameGiven, dtype: object",0.03,0.0,0.03,0.0,0.01,0.0,2012 ,2011.0,CLE,SFN,66844.0,1.662979203702202,1.6632081851770844,1.4798617605370876
20,hairsje02 ,"6820    Jerry Wayne
Name: nameGiven, dtype: object",0.47,0.77,-0.26,-0.86,0.12,0.0,2012 ,2011.0,WAS,MIL,66846.0,1.662979203702202,1.6632081851770844,1.4798617605370876
21,cabreme01 ,"2366    Melky
Name: nameGiven, dtype: object",-0.386666666667,4.67,5.13,-0.11,3.53,3.11,2012 ,2011.0,KCA,SFN,66850.0,1.662979203702202,1.6632081851770844,1.4798617605370876
22,sanchjo01 ,"14942    Jonathan Omar
Name: nameGiven, dtype: object",0.0,-0.05,0.0,0.02,-0.57,0.0,2012 ,2011.0,SFN,KCA,66850.0,1.662979203702202,1.6632081851770844,1.4798617605370876
23,cunniaa01 ,"3764    Aaron R.
Name: nameGiven, dtype: object",0.816666666667,-0.52,1.378,0.0,1.962,0.0,2012 ,2011.0,SDN,CLE,66857.0,1.662979203702202,1.6632081851770844,1.4798617605370876
24,latosma01 ,"9557    Mathew Adam
Name: nameGiven, dtype: object",1.95,0.43,0.283333333333,-0.16,0.733333333333,-0.14,2012 ,2011.0,SDN,CIN,66858.0,1.662979203702202,1.6632081851770844,1.4798617605370876
25,alonsyo01 ,"244    Yonder
Name: nameGiven, dtype: object",1.33142857143,1.45,0.612857142857,1.2,1.278,1.34,2012 ,2011.0,CIN,SDN,66858.0,1.662979203702202,1.6632081851770844,1.4798617605370876
26,volqued01 ,"17578    Edinson
Name: nameGiven, dtype: object",0.18,-0.26,4.94,0.05,-0.95,-0.44,2012 ,2011.0,CIN,SDN,66858.0,1.662979203702202,1.6632081851770844,1.4798617605370876
27,zambrca01 ,"18772    Carlos Alberto
Name: nameGiven, dtype: object",0.463333333333,0.0,2.875,0.0,2.725,0.0,2013 ,2012.0,CHN,MIA,66862.0,1.662979203702202,1.6632081851770844,1.4798617605370876
28,volstch01 ,"17579    Christopher Kenneth
Name: nameGiven, dtype: object",1.055,0.0,0.335,0.0,0.635,0.0,2013 ,2012.0,MIA,CHN,66862.0,1.662979203702202,1.6632081851770844,1.4798617605370876
29,carpech02 ,"2584    Christopher John
Name: nameGiven, dtype: object",-1.1,0.0,2.40666666667,0.0,1.09,0.0,2013 ,2012.0,CHN,BOS,66866.0,1.662979203702202,1.6632081851770844,1.4798617605370876
30,hoovejj01 ,"7833    James Allen
Name: nameGiven, dtype: object",0.71875,0.04,0.846666666667,0.08,1.264,0.04,2013 ,2012.0,ATL,CIN,66870.0,1.662979203702202,1.6632081851770844,1.4798617605370876
